gameid,league,year,split,date,playerid,side,position,player,team,champion,result,dragons,barons,towers,totalgold
TRKR1/500174,LCK,2015,Spring,2015-02-28 10:18:46,200,0,team,none,NaJin e-mFire,none,1,0.0,2.0,11.0,81398
TRKR1/510175,LCK,2015,Spring,2015-02-28 11:20:05,100,1,team,none,NaJin e-mFire,none,1,0.0,1.0,10.0,84153
TRKR1/510175,LCK,2015,Spring,2015-02-28 11:20:05,200,0,team,none,KT Rolster,none,0,0.0,0.0,3.0,73132
TRKR1/500211,LCK,2015,Spring,2015-03-04 08:59:22,100,1,team,none,Samsung Galaxy,none,0,0.0,1.0,8.0,80788
TRKR1/500211,LCK,2015,Spring,2015-03-04 08:59:22,200,0,team,none,ROX Tigers,none,1,0.0,1.0,10.0,83151
TRKR1/500212,LCK,2015,Spring,2015-03-04 10:14:53,100,1,team,none,ROX Tigers,none,1,0.0,1.0,9.0,64915
TRKR1/500212,LCK,2015,Spring,2015-03-04 10:14:53,200,0,team,none,Samsung Galaxy,none,0,0.0,0.0,2.0,49248
TRKR1/500282,LCK,2015,Spring,2015-03-06 08:01:21,100,1,team,none,NaJin e-mFire,none,0,0.0,2.0,6.0,95810
TRKR1/500282,LCK,2015,Spring,2015-03-06 08:01:21,200,0,team,none,CJ Entus,none,1,0.0,1.0,11.0,104773
TRKR1/500283,LCK,2015,Spring,2015-03-06 09:22:19,100,1,team,none,CJ Entus,none,1,0.0,1.0,11.0,64017
TRKR1/500283,LCK,2015,Spring,2015-03-06 09:22:19,200,0,team,none,NaJin e-mFire,none,0,0.0,0.0,2.0,49952
TRKR1/500294,LCK,2015,Spring,2015-03-06 10:40:30,100,1,team,none,SK Telecom T1,none,1,0.0,1.0,9.0,69171
TRKR1/500294,LCK,2015,Spring,2015-03-06 10:40:30,200,0,team,none,KT Rolster,none,0,0.0,0.0,2.0,56574
TRKR1/500298,LCK,2015,Spring,2015-03-06 11:36:19,100,1,team,none,KT Rolster,none,1,0.0,1.0,9.0,71410
TRKR1/500298,LCK,2015,Spring,2015-03-06 11:36:19,200,0,team,none,SK Telecom T1,none,0,0.0,0.0,3.0,58859
TRKR1/500299,LCK,2015,Spring,2015-03-06 12:36:52,100,1,team,none,KT Rolster,none,0,0.0,0.0,3.0,53018
TRKR1/500299,LCK,2015,Spring,2015-03-06 12:36:52,200,0,team,none,SK Telecom T1,none,1,0.0,1.0,11.0,73094
TRKR1/500325,LCK,2015,Spring,2015-03-07 09:14:09,100,1,team,none,ROX Tigers,none,1,0.0,1.0,9.0,86664
TRKR1/500325,LCK,2015,Spring,2015-03-07 09:14:09,200,0,team,none,Jin Air Green Wings,none,0,0.0,0.0,2.0,76362
TRKR1/500337,LCK,2015,Spring,2015-03-07 10:46:06,100,1,team,none,Incredible Miracle,none,1,0.0,1.0,10.0,66690
TRKR1/500337,LCK,2015,Spring,2015-03-07 10:46:06,200,0,team,none,Samsung Galaxy,none,0,0.0,0.0,2.0,50331
TRKR1/500338,LCK,2015,Spring,2015-03-07 11:42:32,100,1,team,none,Samsung Galaxy,none,1,0.0,1.0,9.0,70989
TRKR1/500338,LCK,2015,Spring,2015-03-07 11:42:32,200,0,team,none,Incredible Miracle,none,0,0.0,1.0,4.0,65691
TRKR1/500339,LCK,2015,Spring,2015-03-07 12:48:24,100,1,team,none,Samsung Galaxy,none,1,0.0,1.0,8.0,81102
TRKR1/500339,LCK,2015,Spring,2015-03-07 12:48:24,200,0,team,none,Incredible Miracle,none,0,0.0,1.0,5.0,75884
TRKR1/520093,LCK,2015,Spring,2015-03-18 09:06:15,100,1,team,none,CJ Entus,none,1,0.0,0.0,9.0,64342
TRKR1/520093,LCK,2015,Spring,2015-03-18 09:06:15,200,0,team,none,KT Rolster,none,0,0.0,0.0,3.0,53615
TRKR1/530070,LCK,2015,Spring,2015-03-18 10:06:52,100,1,team,none,KT Rolster,none,1,0.0,1.0,11.0,60856
TRKR1/530070,LCK,2015,Spring,2015-03-18 10:06:52,200,0,team,none,CJ Entus,none,0,0.0,0.0,2.0,47122
TRKR1/530071,LCK,2015,Spring,2015-03-18 10:57:01,100,1,team,none,KT Rolster,none,0,0.0,0.0,0.0,46198
TRKR1/530071,LCK,2015,Spring,2015-03-18 10:57:01,200,0,team,none,CJ Entus,none,1,0.0,1.0,10.0,67744
TRKR1/530105,LCK,2015,Spring,2015-03-20 08:02:30,100,1,team,none,NaJin e-mFire,none,0,0.0,1.0,3.0,76066
TRKR1/530105,LCK,2015,Spring,2015-03-20 08:02:30,200,0,team,none,Jin Air Green Wings,none,1,0.0,1.0,10.0,89388
TRKR1/530106,LCK,2015,Spring,2015-03-20 09:18:23,100,1,team,none,Jin Air Green Wings,none,1,0.0,1.0,11.0,68773
