gameid,league,year,split,date,playerid,side,position,player,team,champion,result,dragons,barons,towers
TRKR1/440073,LCK,2015,Spring,2015-01-10 07:56:33,9,0,ADC,Arrow,KT Rolster,Kog'Maw,0,,,
TRKR1/440073,LCK,2015,Spring,2015-01-10 07:56:33,10,0,Support,Hachani,KT Rolster,Thresh,0,,,
TRKR1/440073,LCK,2015,Spring,2015-01-10 07:56:33,100,1,team,,NaJin e-mFire,,1,0.0,1.0,10.0
TRKR1/440073,LCK,2015,Spring,2015-01-10 07:56:33,200,0,team,,KT Rolster,,0,0.0,0.0,1.0
TRKR1/450111,LCK,2015,Spring,2015-01-10 09:09:26,1,1,Top,Ssumday,KT Rolster,Gnar,0,,,
TRKR1/450111,LCK,2015,Spring,2015-01-10 09:09:26,2,1,Jungle,Score,KT Rolster,Rengar,0,,,
TRKR1/450111,LCK,2015,Spring,2015-01-10 09:09:26,3,1,Middle,Nagne,KT Rolster,Jayce,0,,,
TRKR1/450111,LCK,2015,Spring,2015-01-10 09:09:26,4,1,ADC,Arrow,KT Rolster,Twitch,0,,,
TRKR1/450111,LCK,2015,Spring,2015-01-10 09:09:26,5,1,Support,Hachani,KT Rolster,Morgana,0,,,
TRKR1/450111,LCK,2015,Spring,2015-01-10 09:09:26,6,0,Top,Duke,NaJin e-mFire,Rumble,1,,,
TRKR1/450111,LCK,2015,Spring,2015-01-10 09:09:26,7,0,Jungle,Watch,NaJin e-mFire,Lee Sin,1,,,
TRKR1/450111,LCK,2015,Spring,2015-01-10 09:09:26,8,0,Middle,Ggoong,NaJin e-mFire,Kassadin,1,,,
TRKR1/450111,LCK,2015,Spring,2015-01-10 09:09:26,9,0,ADC,Ohq,NaJin e-mFire,Sivir,1,,,
TRKR1/450111,LCK,2015,Spring,2015-01-10 09:09:26,10,0,Support,Cain,NaJin e-mFire,Annie,1,,,
TRKR1/450111,LCK,2015,Spring,2015-01-10 09:09:26,100,1,team,,KT Rolster,,0,0.0,0.0,4.0
TRKR1/450111,LCK,2015,Spring,2015-01-10 09:09:26,200,0,team,,NaJin e-mFire,,1,0.0,1.0,10.0
TRKR1/450120,LCK,2015,Spring,2015-01-10 10:35:36,1,1,Top,MaRin,SK Telecom T1,Gnar,0,,,
TRKR1/450120,LCK,2015,Spring,2015-01-10 10:35:36,2,1,Jungle,Bengi,SK Telecom T1,Lee Sin,0,,,
TRKR1/450120,LCK,2015,Spring,2015-01-10 10:35:36,3,1,Middle,Easyhoon,SK Telecom T1,Xerath,0,,,
TRKR1/450120,LCK,2015,Spring,2015-01-10 10:35:36,4,1,ADC,Bang,SK Telecom T1,Sivir,0,,,
TRKR1/450120,LCK,2015,Spring,2015-01-10 10:35:36,5,1,Support,Wolf,SK Telecom T1,Annie,0,,,
TRKR1/450120,LCK,2015,Spring,2015-01-10 10:35:36,6,0,Top,Shy,CJ Entus,Dr. Mundo,1,,,
TRKR1/450120,LCK,2015,Spring,2015-01-10 10:35:36,7,0,Jungle,Ambition,CJ Entus,Jarvan IV,1,,,
TRKR1/450120,LCK,2015,Spring,2015-01-10 10:35:36,8,0,Middle,Coco,CJ Entus,Jayce,1,,,
TRKR1/450120,LCK,2015,Spring,2015-01-10 10:35:36,9,0,ADC,Space,CJ Entus,Corki,1,,,
TRKR1/450120,LCK,2015,Spring,2015-01-10 10:35:36,10,0,Support,MadLife,CJ Entus,Braum,1,,,
TRKR1/450120,LCK,2015,Spring,2015-01-10 10:35:36,100,1,team,,SK Telecom T1,,0,0.0,0.0,4.0
TRKR1/450120,LCK,2015,Spring,2015-01-10 10:35:36,200,0,team,,CJ Entus,,1,0.0,2.0,9.0
TRKR1/450122,LCK,2015,Spring,2015-01-10 11:38:54,1,1,Top,Shy,CJ Entus,Lulu,1,,,
TRKR1/450122,LCK,2015,Spring,2015-01-10 11:38:54,2,1,Jungle,Ambition,CJ Entus,Jarvan IV,1,,,
TRKR1/450122,LCK,2015,Spring,2015-01-10 11:38:54,3,1,Middle,Coco,CJ Entus,Ezreal,1,,,
TRKR1/450122,LCK,2015,Spring,2015-01-10 11:38:54,4,1,ADC,Space,CJ Entus,Sivir,1,,,
TRKR1/450122,LCK,2015,Spring,2015-01-10 11:38:54,5,1,Support,MadLife,CJ Entus,Thresh,1,,,
TRKR1/450122,LCK,2015,Spring,2015-01-10 11:38:54,6,0,Top,MaRin,SK Telecom T1,Maokai,0,,,
TRKR1/450122,LCK,2015,Spring,2015-01-10 11:38:54,7,0,Jungle,Bengi,SK Telecom T1,Lee Sin,0,,,
TRKR1/450122,LCK,2015,Spring,2015-01-10 11:38:54,8,0,Middle,Faker,SK Telecom T1,Ahri,0,,,
TRKR1/450122,LCK,2015,Spring,2015-01-10 11:38:54,9,0,ADC,Bang,SK Telecom T1,Tristana,0,,,
TRKR1/450122,LCK,2015,Spring,2015-01-10 11:38:54,10,0,Support,Wolf,SK Telecom T1,Annie,0,,,
TRKR1/450122,LCK,2015,Spring,2015-01-10 11:38:54,100,1,team,,CJ Entus,,1,0.0,1.0,9.0
TRKR1/450122,LCK,2015,Spring,2015-01-10 11:38:54,200,0,team,,SK Telecom T1,,0,0.0,0.0,3.0
TRKR1/440130,LCK,2015,Spring,2015-01-14 08:56:31,1,1,Top,Smeb,ROX Tigers,Gnar,1,,,
TRKR1/440130,LCK,2015,Spring,2015-01-14 08:56:31,2,1,Jungle,Hojin,ROX Tigers,Lee Sin,1,,,
TRKR1/440130,LCK,2015,Spring,2015-01-14 08:56:31,3,1,Middle,Kuro,ROX Tigers,LeBlanc,1,,,
TRKR1/440130,LCK,2015,Spring,2015-01-14 08:56:31,4,1,ADC,PraY,ROX Tigers,Corki,1,,,
TRKR1/440130,LCK,2015,Spring,2015-01-14 08:56:31,5,1,Support,GorillA,ROX Tigers,Thresh,1,,,
TRKR1/440130,LCK,2015,Spring,2015-01-14 08:56:31,6,0,Top,CuVee,Samsung Galaxy,Rumble,0,,,
TRKR1/440130,LCK,2015,Spring,2015-01-14 08:56:31,7,0,Jungle,Eve,Samsung Galaxy,Jarvan IV,0,,,
TRKR1/440130,LCK,2015,Spring,2015-01-14 08:56:31,8,0,Middle,BlisS,Samsung Galaxy,Syndra,0,,,
TRKR1/440130,LCK,2015,Spring,2015-01-14 08:56:31,9,0,ADC,Fury,Samsung Galaxy,Sivir,0,,,
TRKR1/440130,LCK,2015,Spring,2015-01-14 08:56:31,10,0,Support,Wraith,Samsung Galaxy,Sejuani,0,,,
TRKR1/440130,LCK,2015,Spring,2015-01-14 08:56:31,100,1,team,,ROX Tigers,,1,0.0,1.0,11.0
TRKR1/440130,LCK,2015,Spring,2015-01-14 08:56:31,200,0,team,,Samsung Galaxy,,0,0.0,0.0,3.0
TRKR1/440131,LCK,2015,Spring,2015-01-14 10:02:08,1,1,Top,CuVee,Samsung Galaxy,Lulu,0,,,
TRKR1/440131,LCK,2015,Spring,2015-01-14 10:02:08,2,1,Jungle,Eve,Samsung Galaxy,Rek'Sai,0,,,
TRKR1/440131,LCK,2015,Spring,2015-01-14 10:02:08,3,1,Middle,BlisS,Samsung Galaxy,Azir,0,,,
TRKR1/440131,LCK,2015,Spring,2015-01-14 10:02:08,4,1,ADC,Fury,Samsung Galaxy,Sivir,0,,,
TRKR1/440131,LCK,2015,Spring,2015-01-14 10:02:08,5,1,Support,Wraith,Samsung Galaxy,Braum,0,,,
TRKR1/440131,LCK,2015,Spring,2015-01-14 10:02:08,6,0,Top,Smeb,ROX Tigers,Rumble,1,,,
TRKR1/440131,LCK,2015,Spring,2015-01-14 10:02:08,7,0,Jungle,Hojin,ROX Tigers,Jarvan IV,1,,,
TRKR1/440131,LCK,2015,Spring,2015-01-14 10:02:08,8,0,Middle,Kuro,ROX Tigers,Lissandra,1,,,
TRKR1/440131,LCK,2015,Spring,2015-01-14 10:02:08,9,0,ADC,PraY,ROX Tigers,Corki,1,,,
TRKR1/440131,LCK,2015,Spring,2015-01-14 10:02:08,10,0,Support,GorillA,ROX Tigers,Thresh,1,,,
TRKR1/440131,LCK,2015,Spring,2015-01-14 10:02:08,100,1,team,,Samsung Galaxy,,0,0.0,0.0,3.0
TRKR1/440131,LCK,2015,Spring,2015-01-14 10:02:08,200,0,team,,ROX Tigers,,1,0.0,1.0,14.0
TRKR1/440170,LCK,2015,Spring,2015-01-16 07:49:27,1,1,Top,Ssumday,KT Rolster,Kassadin,0,,,
TRKR1/440170,LCK,2015,Spring,2015-01-16 07:49:27,2,1,Jungle,Score,KT Rolster,Lee Sin,0,,,
TRKR1/440170,LCK,2015,Spring,2015-01-16 07:49:27,3,1,Middle,Nagne,KT Rolster,LeBlanc,0,,,
TRKR1/440170,LCK,2015,Spring,2015-01-16 07:49:27,4,1,ADC,Arrow,KT Rolster,Corki,0,,,
TRKR1/440170,LCK,2015,Spring,2015-01-16 07:49:27,5,1,Support,Hachani,KT Rolster,Braum,0,,,
TRKR1/440170,LCK,2015,Spring,2015-01-16 07:49:27,6,0,Top,MaRin,SK Telecom T1,Gnar,1,,,
TRKR1/440170,LCK,2015,Spring,2015-01-16 07:49:27,7,0,Jungle,Bengi,SK Telecom T1,Jarvan IV,1,,,
TRKR1/440170,LCK,2015,Spring,2015-01-16 07:49:27,8,0,Middle,Easyhoon,SK Telecom T1,Lulu,1,,,
TRKR1/440170,LCK,2015,Spring,2015-01-16 07:49:27,9,0,ADC,Bang,SK Telecom T1,Sivir,1,,,
TRKR1/440170,LCK,2015,Spring,2015-01-16 07:49:27,10,0,Support,Piccaboo,SK Telecom T1,Thresh,1,,,
TRKR1/440170,LCK,2015,Spring,2015-01-16 07:49:27,100,1,team,,KT Rolster,,0,0.0,1.0,3.0
TRKR1/440170,LCK,2015,Spring,2015-01-16 07:49:27,200,0,team,,SK Telecom T1,,1,0.0,0.0,9.0
TRKR1/450212,LCK,2015,Spring,2015-01-16 09:04:52,1,1,Top,MaRin,SK Telecom T1,Gnar,1,,,
TRKR1/450212,LCK,2015,Spring,2015-01-16 09:04:52,2,1,Jungle,Bengi,SK Telecom T1,Jarvan IV,1,,,
TRKR1/450212,LCK,2015,Spring,2015-01-16 09:04:52,3,1,Middle,Faker,SK Telecom T1,Syndra,1,,,
TRKR1/450212,LCK,2015,Spring,2015-01-16 09:04:52,4,1,ADC,Bang,SK Telecom T1,Corki,1,,,
TRKR1/450212,LCK,2015,Spring,2015-01-16 09:04:52,5,1,Support,Wolf,SK Telecom T1,Janna,1,,,
TRKR1/450212,LCK,2015,Spring,2015-01-16 09:04:52,6,0,Top,Ssumday,KT Rolster,Lissandra,0,,,
TRKR1/450212,LCK,2015,Spring,2015-01-16 09:04:52,7,0,Jungle,Score,KT Rolster,Lee Sin,0,,,
TRKR1/450212,LCK,2015,Spring,2015-01-16 09:04:52,8,0,Middle,Nagne,KT Rolster,LeBlanc,0,,,
TRKR1/450212,LCK,2015,Spring,2015-01-16 09:04:52,9,0,ADC,Arrow,KT Rolster,Sivir,0,,,
TRKR1/450212,LCK,2015,Spring,2015-01-16 09:04:52,10,0,Support,Hachani,KT Rolster,Lulu,0,,,
TRKR1/450212,LCK,2015,Spring,2015-01-16 09:04:52,100,1,team,,SK Telecom T1,,1,0.0,1.0,8.0
TRKR1/450212,LCK,2015,Spring,2015-01-16 09:04:52,200,0,team,,KT Rolster,,0,0.0,0.0,3.0
TRKR1/450224,LCK,2015,Spring,2015-01-16 10:29:30,1,1,Top,Shy,CJ Entus,Lulu,1,,,
TRKR1/450224,LCK,2015,Spring,2015-01-16 10:29:30,2,1,Jungle,Ambition,CJ Entus,Rengar,1,,,
TRKR1/450224,LCK,2015,Spring,2015-01-16 10:29:30,3,1,Middle,Coco,CJ Entus,Orianna,1,,,
TRKR1/450224,LCK,2015,Spring,2015-01-16 10:29:30,4,1,ADC,Space,CJ Entus,Sivir,1,,,
TRKR1/450224,LCK,2015,Spring,2015-01-16 10:29:30,5,1,Support,MadLife,CJ Entus,Janna,1,,,
TRKR1/450224,LCK,2015,Spring,2015-01-16 10:29:30,6,0,Top,Duke,NaJin e-mFire,Gnar,0,,,
TRKR1/450224,LCK,2015,Spring,2015-01-16 10:29:30,7,0,Jungle,Watch,NaJin e-mFire,Jarvan IV,0,,,
TRKR1/450224,LCK,2015,Spring,2015-01-16 10:29:30,8,0,Middle,Ggoong,NaJin e-mFire,LeBlanc,0,,,
TRKR1/450224,LCK,2015,Spring,2015-01-16 10:29:30,9,0,ADC,Zefa,NaJin e-mFire,Corki,0,,,
TRKR1/450224,LCK,2015,Spring,2015-01-16 10:29:30,10,0,Support,Pure,NaJin e-mFire,Braum,0,,,
TRKR1/450224,LCK,2015,Spring,2015-01-16 10:29:30,100,1,team,,CJ Entus,,1,0.0,1.0,10.0
TRKR1/450224,LCK,2015,Spring,2015-01-16 10:29:30,200,0,team,,NaJin e-mFire,,0,0.0,0.0,4.0
TRKR1/440185,LCK,2015,Spring,2015-01-16 11:18:35,1,1,Top,Duke,NaJin e-mFire,Lissandra,1,,,
TRKR1/440185,LCK,2015,Spring,2015-01-16 11:18:35,2,1,Jungle,Watch,NaJin e-mFire,Lee Sin,1,,,
TRKR1/440185,LCK,2015,Spring,2015-01-16 11:18:35,3,1,Middle,Ggoong,NaJin e-mFire,LeBlanc,1,,,
TRKR1/440185,LCK,2015,Spring,2015-01-16 11:18:35,4,1,ADC,Zefa,NaJin e-mFire,Sivir,1,,,
TRKR1/440185,LCK,2015,Spring,2015-01-16 11:18:35,5,1,Support,Pure,NaJin e-mFire,Annie,1,,,
TRKR1/440185,LCK,2015,Spring,2015-01-16 11:18:35,6,0,Top,Shy,CJ Entus,Maokai,0,,,
TRKR1/440185,LCK,2015,Spring,2015-01-16 11:18:35,7,0,Jungle,Ambition,CJ Entus,Jarvan IV,0,,,
TRKR1/440185,LCK,2015,Spring,2015-01-16 11:18:35,8,0,Middle,Coco,CJ Entus,Jayce,0,,,
TRKR1/440185,LCK,2015,Spring,2015-01-16 11:18:35,9,0,ADC,Space,CJ Entus,Kalista,0,,,
