Year,Season,Player,Team,Pos,W%,KDA,KP,DPM,Laning,Engage,Fight
16,Spring,Soul,SBENU Korea,Top,23.0,1.7,66.7,334,0.49584851183231854,0.556,0.20289855072463767
16,Spring,SS,Kongdoo Monster,ADC,20.0,2.4,68.9,550,0.6234400602616993,0.5853333333333334,0.30434782608695654
16,Spring,SS,e-mFire,ADC,17.0,3.0,74.6,447,0.5472529211905993,0.6613333333333332,0.391304347826087
16,Spring,Ssumday,KT Rolster,Top,67.0,3.9,72.6,487,0.6157192763303677,0.6346666666666666,0.5217391304347826
16,Spring,Stitch,Samsung Galaxy,ADC,50.0,3.2,65.4,462,0.4677506395762596,0.5386666666666667,0.4202898550724638
16,Spring,TrAce,Jin Air Green Wings,Top,56.0,4.1,70.4,431,0.6307559288406809,0.6053333333333334,0.5507246376811593
16,Spring,Untara,CJ Entus,Top,41.0,2.7,72.3,332,0.6977792380728355,0.6306666666666666,0.3478260869565218
16,Spring,Winged,Jin Air Green Wings,Jungle,55.0,4.5,73.9,298,0.7392231405348962,0.652,0.6086956521739131
16,Spring,Wolf,SK Telecom T1,Support,63.0,4.7,68.7,104,0.5913798277926596,0.5826666666666667,0.6376811594202899
16,Spring,Wraith,Samsung Galaxy,Support,50.0,4.1,68.6,79,0.607529146158111,0.5813333333333333,0.5507246376811593
16,Spring,Zzus,Longzhu Gaming,Support,50.0,2.2,57.1,115,0.5586173326316426,0.428,0.2753623188405797
16,Summer,ADD,MVP,Top,44.0,2.4,69.6,443,0.5528529258283591,0.5442278860569715,0.31343283582089554
16,Summer,Ambition,Samsung Galaxy,Jungle,60.0,3.1,70.4,341,0.7867657277583481,0.5562218890554723,0.41791044776119407
16,Summer,Arrow,KT Rolster,ADC,66.0,5.6,71.1,523,0.7296319688306386,0.5667166416791604,0.7910447761194029
16,Summer,Bang,SK Telecom T1,ADC,68.0,6.3,73.7,712,0.8169273101192799,0.6056971514242879,0.8955223880597015
16,Summer,Bdd,CJ Entus,Middle,26.0,3.3,79.2,539,0.7433790315945483,0.6881559220389806,0.44776119402985076
16,Summer,Bengi,SK Telecom T1,Jungle,57.0,3.5,73.5,327,0.6501725843705258,0.6026986506746627,0.47761194029850745
16,Summer,Beyond,MVP,Jungle,44.0,2.7,77.6,359,0.7881823150066097,0.6641679160419789,0.35820895522388063
16,Summer,Blanc,Jin Air Green Wings,Middle,50.0,2.9,60.3,502,0.6423819359258987,0.4047976011994003,0.3880597014925373
16,Summer,Blank,SK Telecom T1,Jungle,74.0,3.7,70.3,328,0.6558768091806884,0.5547226386806596,0.5074626865671642
16,Summer,Bless,ESC Ever,Jungle,36.0,2.5,72.2,338,0.7359741070536332,0.583208395802099,0.3283582089552239
16,Summer,Bubbling,CJ Entus,Jungle,0.0,3.0,85.7,314,0.0,0.7856071964017991,0.40298507462686567
16,Summer,Chaser,Longzhu Gaming,Jungle,26.0,3.5,77.9,305,0.7940070707561118,0.6686656671664168,0.47761194029850745
