Year,Season,Champion,Pos,GP,P+B%,W%
17,Spring,Kha'Zix,Jungle,85,53.2,53
17,Spring,Kindred,Jungle,1,0.5,0
17,Spring,Kled,Top,3,3.6,0
17,Spring,Kog'Maw,ADC,7,3.2,43
17,Spring,LeBlanc,Middle,12,77.9,50
17,Spring,Lee Sin,Jungle,61,36.5,48
17,Spring,Leona,Support,1,0.5,100
17,Spring,Lissandra,Middle,3,3.2,0
17,Spring,Lucian,ADC,18,12.2,61
17,Spring,Lulu,Support,54,39.2,46
17,Spring,Lux,Support,1,0.5,100
17,Spring,Malzahar,Middle,4,92.3,75
17,Spring,Malzahar,Support,45,92.3,56
17,Spring,Maokai,Top,98,63.1,51
17,Spring,Miss Fortune,ADC,1,22.5,0
17,Spring,Miss Fortune,Support,26,22.5,46
17,Spring,Nami,Support,32,20.7,56
17,Spring,Nautilus,Support,6,57.2,67
17,Spring,Nautilus,Top,82,57.2,57
17,Spring,Olaf,Jungle,10,8.6,50
17,Spring,Olaf,Top,1,8.6,100
17,Spring,Orianna,Middle,47,36.5,60
17,Spring,Pantheon,Middle,1,0.5,0
17,Spring,Poppy,Top,26,15.3,42
17,Spring,Rek'Sai,Jungle,25,15.3,44
17,Spring,Renekton,Top,23,14.0,35
17,Spring,Rengar,Jungle,88,91.0,53
17,Spring,Rengar,Top,1,91.0,100
17,Spring,Rumble,Top,45,59.0,58
17,Spring,Ryze,Middle,56,64.9,45
17,Spring,Shen,Top,52,59.0,56
17,Spring,Shyvana,Jungle,2,0.9,0
17,Spring,Singed,Top,6,4.1,67
17,Spring,Sion,Support,1,12.6,100
17,Spring,Sion,Top,6,12.6,83
17,Spring,Sivir,ADC,8,5.0,38
17,Spring,Syndra,Middle,44,60.4,57
17,Spring,Syndra,Support,2,60.4,0
17,Spring,Tahm Kench,Support,30,29.3,50
17,Spring,Taliyah,Middle,40,42.3,48
17,Spring,Talon,Middle,18,21.6,61
17,Spring,Talon,Top,1,21.6,0
17,Spring,Taric,Support,3,2.3,0
17,Spring,Thresh,Support,25,20.7,56
17,Spring,Trundle,Top,1,0.9,0
17,Spring,Twisted Fate,Middle,4,1.8,25
17,Spring,Varus,ADC,67,87.8,52
17,Spring,Vel'Koz,Support,2,1.4,100
17,Spring,Viktor,Middle,16,7.7,44
17,Spring,Vladimir,Middle,14,15.3,29
17,Spring,Zed,Middle,7,8.1,86
17,Spring,Ziggs,ADC,14,9.5,36
17,Spring,Zilean,Middle,8,9.0,38
17,Spring,Zilean,Support,6,9.0,33
17,Spring,Zyra,Support,82,82.0,60
17,Summer,Ahri,Middle,2,1.4,0
17,Summer,Akali,Top,1,0.9,100
17,Summer,Alistar,Support,31,22.4,52
17,Summer,Amumu,Jungle,1,0.5,0
17,Summer,Anivia,Middle,1,0.5,0
17,Summer,Ashe,ADC,73,42.5,56
17,Summer,Aurelion Sol,Middle,3,2.3,67
17,Summer,Azir,Middle,1,0.5,0
17,Summer,Bard,Support,10,8.2,40
17,Summer,Blitzcrank,Support,16,15.1,44
17,Summer,Brand,Support,2,2.7,0
17,Summer,Braum,Support,86,57.5,56
17,Summer,Caitlyn,ADC,48,88.6,50
17,Summer,Camille,Top,24,23.3,54
17,Summer,Cassiopeia,Middle,27,32.4,59
17,Summer,Cassiopeia,Top,2,32.4,50
17,Summer,Cho'Gath,Jungle,3,11.9,0
17,Summer,Cho'Gath,Top,13,11.9,62
17,Summer,Corki,ADC,1,29.2,0
17,Summer,Corki,Middle,47,29.2,34
17,Summer,Draven,ADC,1,0.5,0
17,Summer,Elise,Jungle,77,98.6,55
17,Summer,Fiora,Middle,1,26.0,0
17,Summer,Fiora,Top,16,26.0,25
17,Summer,Fizz,Middle,1,0.9,0
17,Summer,Galio,Middle,56,83.6,63
17,Summer,Galio,Support,3,83.6,67
17,Summer,Galio,Top,4,83.6,25
17,Summer,Gnar,Top,25,14.6,24
17,Summer,Gragas,Jungle,80,67.1,56
17,Summer,Gragas,Top,25,67.1,44
17,Summer,Graves,Jungle,27,18.7,30
17,Summer,Ivern,Jungle,3,2.3,33
17,Summer,Janna,Support,2,2.3,50
17,Summer,Jarvan IV,Jungle,18,48.9,56
17,Summer,Jarvan IV,Top,68,48.9,53
17,Summer,Jax,Jungle,2,17.4,100
17,Summer,Jax,Top,16,17.4,44
17,Summer,Jayce,Jungle,1,38.4,0
17,Summer,Jayce,Middle,2,38.4,50
17,Summer,Jayce,Top,26,38.4,65
17,Summer,Jhin,ADC,13,7.3,38
17,Summer,Jinx,ADC,1,0.5,100
17,Summer,Kalista,ADC,64,58.4,63
17,Summer,Karma,Middle,28,38.4,50
17,Summer,Karma,Support,17,38.4,65
17,Summer,Kassadin,Middle,15,10.5,33
17,Summer,Kennen,Support,7,35.6,86
17,Summer,Kennen,Top,18,35.6,28
17,Summer,Kha'Zix,Jungle,39,24.2,54
17,Summer,Kled,Top,29,21.0,48
17,Summer,Kog'Maw,ADC,27,22.8,41
17,Summer,LeBlanc,Middle,16,37.0,56
17,Summer,Lee Sin,Jungle,60,47.0,52
17,Summer,Lucian,ADC,2,27.9,0
17,Summer,Lucian,Middle,25,27.9,44
17,Summer,Lucian,Top,2,27.9,50
17,Summer,Lulu,Support,22,17.4,55
17,Summer,Malphite,Top,1,0.5,100
17,Summer,Malzahar,Middle,3,1.8,67
17,Summer,Maokai,Jungle,4,19.2,50
17,Summer,Maokai,Support,1,19.2,0
17,Summer,Maokai,Top,17,19.2,47
17,Summer,Miss Fortune,Support,1,0.5,0
17,Summer,Mordekaiser,Top,1,1.4,100
17,Summer,Morgana,Support,5,2.3,60
17,Summer,Nami,Support,1,0.5,0
17,Summer,Nidalee,Jungle,4,5.0,25
17,Summer,Nunu & Willump,Jungle,1,0.9,0
17,Summer,Nunu & Willump,Support,1,0.9,0
17,Summer,Olaf,Jungle,11,7.8,36
17,Summer,Orianna,Middle,76,64.4,54
17,Summer,Rakan,Support,55,42.5,51
17,Summer,Rek'Sai,Jungle,65,39.3,40
17,Summer,Renekton,Top,60,47.5,55
17,Summer,Rengar,Jungle,4,4.6,25
17,Summer,Rumble,Jungle,4,58.9,75
17,Summer,Rumble,Top,51,58.9,59
17,Summer,Sejuani,Jungle,19,15.1,53
17,Summer,Sejuani,Top,8,15.1,50
17,Summer,Shen,Top,22,16.9,59
17,Summer,Sion,Top,2,1.4,0
17,Summer,Sivir,ADC,1,0.5,100
17,Summer,Skarner,Jungle,1,0.5,100
17,Summer,Sona,Support,1,0.5,0
17,Summer,Syndra,Middle,33,64.8,52
17,Summer,Tahm Kench,Support,41,32.9,44
17,Summer,Taliyah,Middle,71,72.6,54
17,Summer,Taric,Support,10,5.5,50
17,Summer,Thresh,Support,86,78.5,44
17,Summer,Tristana,ADC,29,18.3,45
17,Summer,Trundle,Top,6,6.4,50
17,Summer,Twitch,ADC,19,16.4,63
17,Summer,Varus,ADC,79,50.7,42
17,Summer,Viktor,Middle,23,13.2,43
17,Summer,Vladimir,Middle,3,1.8,33
17,Summer,Warwick,Jungle,1,0.5,0
17,Summer,Xayah,ADC,79,49.3,48
17,Summer,Yasuo,Top,1,0.5,100
17,Summer,Zac,Jungle,13,99.5,85
17,Summer,Zed,Middle,4,5.0,25
17,Summer,Ziggs,ADC,1,0.5,0
17,Summer,Zilean,Support,1,0.5,0
17,Summer,Zyra,Support,39,37.9,51
18,Spring,Alistar,Support,55,58.4,58
18,Spring,Anivia,Middle,5,3.7,80
18,Spring,Ashe,ADC,3,1.9,67
18,Spring,Aurelion Sol,Middle,1,0.5,100
18,Spring,Azir,Middle,90,84.1,52
18,Spring,Bard,Support,2,2.3,0
18,Spring,Blitzcrank,Support,3,1.9,33
18,Spring,Braum,Support,87,77.1,57
18,Spring,Caitlyn,ADC,45,31.8,40
18,Spring,Camille,Jungle,18,72.0,50
18,Spring,Camille,Top,48,72.0,58
18,Spring,Cassiopeia,Middle,4,6.1,0
18,Spring,Cassiopeia,Top,1,6.1,0
18,Spring,Cho'Gath,Top,22,15.4,41
18,Spring,Corki,Middle,28,20.6,43
18,Spring,Ekko,Middle,3,2.3,67
