"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Taliyah","ADC",2,"0.9%","80.7%","94.0%","100%","0%",6,1,12,18,"69.2%","11.1%","100%",672,215,11.5,10.1,"27.5%",406,"23.8%","24.8%",0.82,0.22
"Taliyah","Jungle",15,"6.9%","80.7%","94.0%","60%","27%",35,34,77,3.3,"84.2%","24.3%","33%",-118,-248,-5.8,6,"16.5%",337,"21.1%","18.6%",0.87,0.38
"Taliyah","Middle",11,"5.0%","80.7%","94.0%","64%","27%",32,28,57,3.2,"73.0%","25.5%","36%",36,-59,-0.1,9.6,"26.9%",514,"30.3%","23.5%",0.5,0.18
"Taliyah","Support",1,"0.5%","80.7%","94.0%","100%","100%",0,2,2,1,"33.3%","66.7%","0%",-191,128,-27,1,"2.9%",135,"9.1%","8.5%",1.21,0.58
"Talon","Middle",8,"3.7%","7.8%","11.5%","63%","88%",26,14,29,3.9,"67.1%","27.5%","13%",-90,320,-2.8,10.7,"30.9%",366,"22.1%","26.6%",0.53,0.26
"Taric","Middle",6,"2.8%","4.6%","8.7%","50%","17%",6,13,43,3.8,"80.3%","21.0%","33%",-967,-1389,-59,1.5,"4.6%",82,"5.7%","11.6%",1.01,0.25
"Taric","Support",3,"1.4%","4.6%","8.7%","33%","100%",0,8,11,1.4,"64.7%","26.7%","0%",-185,-40,-0.7,2.1,"6.7%",64,"3.9%","9.6%",1.47,0.43
"Teemo","ADC",2,"0.9%","0.0%","0.9%","100%","50%",1,1,5,6,"31.6%","100.0%","50%",-158,116,5,10,"24.1%",546,"27.7%","20.5%",0.29,0.5
"Thresh","Support",6,"2.8%","0.9%","3.7%","50%","67%",9,14,45,3.9,"78.3%","18.7%","33%",50,84,-1.3,1.4,"4.4%",168,"8.9%","12.0%",1.5,0.41
"Tristana","ADC",4,"1.8%","0.5%","2.3%","75%","100%",12,3,11,7.7,"76.7%","10.3%","0%",100,380,4.8,11.5,"33.7%",479,"32.1%","29.4%",0.42,0.38
"Trundle","Jungle",92,"42.2%","22.5%","64.7%","53%","55%",119,175,484,3.4,"77.1%","21.6%","49%",27,-66,-0.6,4.7,"11.4%",130,"8.4%","15.9%",0.46,0.57
"Twisted Fate","Middle",1,"0.5%","0.0%","0.5%","0%","100%",0,2,4,2,"100.0%","13.3%","0%",452,1254,4,9.3,"28.9%",357,"32.2%","28.8%",0.39,0.12
"Varus","ADC",46,"21.1%","18.3%","40.8%","39%","54%",87,68,131,3.2,"67.7%","16.6%","33%",-49,-107,1.6,10.3,"30.2%",473,"28.0%","26.5%",0.44,0.39
"Varus","Middle",3,"1.4%","18.3%","40.8%","33%","33%",4,4,3,1.8,"53.8%","14.8%","0%",-188,-306,-1,9.9,"27.2%",463,"31.9%","25.4%",0.54,0.3
"Vel'Koz","ADC",1,"0.5%","4.6%","11.5%","0%","100%",0,0,5,5,"71.4%","0.0%","0%",-351,-128,-19,9.7,"33.3%",731,"31.9%","25.1%",0.49,0.36
"Vel'Koz","Middle",13,"6.0%","4.6%","11.5%","46%","100%",42,13,37,6.1,"82.3%","12.0%","0%",33,161,3.2,9.9,"27.8%",598,"37.4%","25.9%",0.53,0.25
"Vel'Koz","Support",1,"0.5%","4.6%","11.5%","0%","100%",1,1,1,2,"100.0%","16.7%","0%",-23,28,-2,0.8,"3.4%",199,"17.0%","8.3%",1.08,0.26
"Vladimir","ADC",48,"22.0%","18.8%","47.2%","44%","30%",104,78,196,3.8,"65.9%","18.2%","29%",-173,-189,-10.4,9.2,"27.5%",405,"25.7%","24.5%",0.63,0.21
"Vladimir","Middle",3,"1.4%","18.8%","47.2%","67%","67%",7,6,10,2.8,"77.3%","27.3%","0%",-14,252,5,8.7,"25.6%",520,"35.7%","23.1%",0.55,0.21
"Vladimir","Top",11,"5.0%","18.8%","47.2%","55%","78%",23,18,43,3.7,"55.9%","17.1%","18%",-24,-58,2.9,9.2,"26.6%",423,"25.6%","23.0%",0.52,0.14
"Xayah","ADC",26,"11.9%","6.9%","18.8%","73%","56%",90,22,96,8.5,"70.5%","11.9%","19%",-110,73,-0.4,11,"33.1%",547,"31.2%","28.0%",0.43,0.34
"Xerath","Middle",2,"0.9%","0.9%","1.8%","50%","100%",6,4,11,4.3,"81.0%","23.5%","50%",83,-25,-8,8.7,"25.1%",782,"38.0%","22.6%",0.57,0.11
"Xin Zhao","Jungle",12,"5.5%","2.3%","7.8%","42%","67%",16,27,58,2.7,"69.8%","28.7%","50%",53,-43,2.1,5.2,"13.7%",208,"13.6%","17.2%",0.43,0.46
"Yasuo","ADC",13,"6.0%","30.3%","46.8%","46%","46%",23,26,52,2.9,"62.5%","22.6%","23%",-106,-363,-7.2,9.1,"25.8%",242,"15.1%","23.4%",0.63,0.23
"Yasuo","Middle",23,"10.6%","30.3%","46.8%","57%","70%",86,45,87,3.8,"72.7%","20.3%","30%",-18,-133,-3.5,9.7,"29.1%",371,"21.1%","25.6%",0.45,0.23
"Zac","Jungle",10,"4.6%","0.9%","5.5%","50%","100%",13,16,57,4.4,"72.9%","19.8%","40%",-75,-70,-2.2,4.7,"11.0%",150,"8.5%","15.2%",0.56,0.49
"Zilean","ADC",1,"0.5%","0.0%","0.5%","0%","0%",0,1,2,2,"50.0%","7.7%","0%",-1000,-188,-39,10,"30.9%",186,"23.6%","24.1%",0.46,0.38
"Zoe","ADC",1,"0.5%","46.3%","85.8%","0%","100%",2,3,4,2,"85.7%","25.0%","0%",-711,-123,-12,8.2,"25.3%",505,"24.8%","21.8%",0.46,0.27
"Zoe","Middle",85,"39.0%","46.3%","85.8%","58%","27%",255,110,333,5.3,"71.5%","15.1%","18%",148,155,5,9,"24.6%",547,"31.7%","23.3%",0.5,0.21
